'COS, k ˈə z
HYUNDAI(1), h aɪ ˈuː n d aɪ
HYUNDAI(2), h j ˈɐ n d ˌeɪ
I, ˈaɪ
I'S, ˈaɪ z
IAN, ˈiː ə n
ICE, ˈaɪ s
ICE-CREAM, ˈaɪ s k ɹ ˌiː m
ICELAND, ˈaɪ s l ə n d
ICING, ˈaɪ s ɪ ŋ
ICKY, ˈɪ k i
ICON, ˈaɪ k ˌɒ n
ICONS, ˈaɪ k ˌɒ n z
ICY, ˈaɪ s i
IDAHO, ˈaɪ d ə h ˌəʊ
IDEA, aɪ d ˈɪə
IDEAL, aɪ d ˈɪə l
IDEALLY, aɪ d ˈɪə l i
IDEALS, aɪ d ˈɪə l z
IDEAS, aɪ d ˈɪə z
IDENTICAL, aɪ d ˈɛ n t ɪ k ə l
IDENTIFICATION, aɪ d ˌɛ n t ɪ f ɪ k ˈeɪ ʃ ə n
IDENTIFIED, aɪ d ˈɛ n t ɪ f ˌaɪ d
IDENTIFIER, aɪ d ˈɛ n t ɪ f ˌaɪ ə
IDENTIFIES, aɪ d ˈɛ n t ɪ f ˌaɪ z
IDENTIFY, aɪ d ˈɛ n t ɪ f ˌaɪ
IDENTIFYING, aɪ d ˈɛ n t ɪ f ˌaɪ ɪ ŋ
IDENTITY, aɪ d ˈɛ n t ɪ t i
IDEOLOGICAL, aɪ d ɪə l ˈɒ dʒ ɪ k ə l
IDEOLOGY, aɪ d ɪ ˈɒ l ə dʒ i
IDIOM, ˈɪ d ɪə m
IDIOT, ˈɪ d ɪə t
IDIOTS, ˈɪ d ɪə t s
IDLE, ˈaɪ d ə l
IDLY, ˈaɪ d l i
IDOL, ˈaɪ d ə l
IF(1), ɪ f
IF(2), ˈɪ f
IFFY, ˈɪ f i
IGLOO, ˈɪ g l ˌuː
IGNORANCE, ˈɪ g n ə ɹ ə n s
IGNORANT, ˈɪ g n ə ɹ ə n t
IGNORE, ɪ g n ˈɔː
IGNORED, ɪ g n ˈɔː d
IGNORING, ɪ g n ˈɔː ɹ ɪ ŋ
ILL, ˈɪ l
ILLEGAL, ɪ l ˈiː g ə l
ILLEGITIMATE, ɪ l ɪ dʒ ˈɪ t ɪ m ɪ t
ILLICIT, ɪ l ˈɪ s ɪ t
ILLINOIS, ˌɪ l ɪ n ˈɔɪ
ILLNESS, ˈɪ l n ɪ s
ILLUSION, ɪ l ˈuː ʒ ə n
ILLUSTRATE, ˈɪ l ə s t ɹ ˌeɪ t
ILLUSTRATED, ˈɪ l ə s t ɹ ˌeɪ t ɪ d
ILLUSTRATES, ˈɪ l ə s t ɹ ˌeɪ t s
ILLUSTRATION, ˌɪ l ə s t ɹ ˈeɪ ʃ ə n
ILLUSTRATIONS, ˌɪ l ə s t ɹ ˈeɪ ʃ ə n z
IMAGE, ˈɪ m ɪ dʒ
IMAGERY, ˈɪ m ɪ dʒ ɹ i
IMAGES, ˈɪ m ɪ dʒ ɪ z
IMAGINARY, ɪ m ˈæ dʒ ɪ n ə ɹ i
IMAGINATION, ɪ m ˌæ dʒ ɪ n ˈeɪ ʃ ə n
IMAGINATIVE, ɪ m ˈæ dʒ ɪ n ə t ɪ v
IMAGINE, ɪ m ˈæ dʒ ɪ n
IMAGINED, ɪ m ˈæ dʒ ɪ n d
IMAGING, ˈɪ m ɪ dʒ ɪ ŋ
IMBALANCE, ɪ m b ˈæ l ə n s
IMBUE, ɪ m b j ˈuː
IMMEDIATE, ɪ m ˈiː d ɪə t
IMMEDIATELY, ɪ m ˈiː d ɪə t l i
IMMENSE, ɪ m ˈɛ n s
IMMIGRANTS, ˈɪ m ɪ g ɹ ə n t s
IMMIGRATE, ˈɪ m ɪ g ɹ ˌeɪ t
IMMIGRATION, ˌɪ m ɪ g ɹ ˈeɪ ʃ ə n
IMMINENT, ˈɪ m ɪ n ə n t
IMMUNE, ɪ m j ˈuː n
IMMUNOLOGY, ˌɪ m j uː n ˈɒ l ə dʒ i
IMPACT(1), ˈɪ m p æ k t
IMPACT(2), ɪ m p ˈæ k t
IMPACTS(1), ˈɪ m p æ k t s
IMPACTS(2), ɪ m p ˈæ k t s
IMPAIRED, ɪ m p ˈɛə d
IMPART, ɪ m p ˈɑː t
IMPASSE(1), æ m p ˈɑː s
IMPASSE(2), ˈæ m p ɑː s
IMPASSE(3), ɪ m p ˈɑː s
IMPASSE(4), ɪ m p ˈɑː s
IMPERIAL, ɪ m p ˈɪə ɹ ɪə l
IMPLEMENT(1), ˈɪ m p l ɪ m ˌɛ n t
IMPLEMENT(2), ˈɪ m p l ɪ m ə n t
IMPLEMENTATION, ˌɪ m p l ɪ m ɛ n t ˈeɪ ʃ ə n
IMPLEMENTED, ˈɪ m p l ɪ m ˌɛ n t ɪ d
IMPLEMENTING, ˈɪ m p l ɪ m ˌɛ n t ɪ ŋ
IMPLICATION, ˌɪ m p l ɪ k ˈeɪ ʃ ə n
IMPLICATIONS, ˌɪ m p l ɪ k ˈeɪ ʃ ə n z
IMPLICIT, ɪ m p l ˈɪ s ɪ t
IMPLIED, ɪ m p l ˈaɪ d
IMPLIES, ɪ m p l ˈaɪ z
IMPLY, ɪ m p l ˈaɪ
IMPORT(1), ˈɪ m p ˌɔː t
IMPORT(2), ɪ m p ˈɔː t
IMPORTANCE, ɪ m p ˈɔː t ə n s
IMPORTANT, ɪ m p ˈɔː t ə n t
IMPORTANTLY, ɪ m p ˈɔː t ə n t l i
IMPORTED, ɪ m p ˈɔː t ɪ d
IMPORTS(1), ˈɪ m p ˌɔː t s
IMPORTS(2), ɪ m p ˈɔː t s
IMPOSE, ɪ m p ˈəʊ z
IMPOSED, ɪ m p ˈəʊ z d
IMPOSSIBLE, ɪ m p ˈɒ s ɪ b ə l
IMPRESS, ɪ m p ɹ ˈɛ s
IMPRESSED, ɪ m p ɹ ˈɛ s t
IMPRESSION, ɪ m p ɹ ˈɛ ʃ ə n
IMPRESSIVE, ɪ m p ɹ ˈɛ s ɪ v
IMPRISONMENT, ɪ m p ɹ ˈɪ z ə n m ə n t
IMPROVE, ɪ m p ɹ ˈuː v
IMPROVED, ɪ m p ɹ ˈuː v d
IMPROVEMENT, ɪ m p ɹ ˈuː v m ə n t
IMPROVEMENTS, ɪ m p ɹ ˈuː v m ə n t s
IMPROVING, ɪ m p ɹ ˈuː v ɪ ŋ
IMPULSE, ˈɪ m p ɐ l s
IMPULSES, ˈɪ m p ɐ l s ɪ z
IMPULSIVE, ɪ m p ˈɐ l s ɪ v
IN(1), ɪ n
IN(2), ˈɪ n
INABILITY, ˌɪ n ə b ˈɪ l ɪ t i
INADEQUATE, ɪ n ˈæ d ɪ k w ɪ t
INANE, ɪ n ˈeɪ n
INAPPROPRIATE, ˌɪ n ə p ɹ ˈəʊ p ɹ ɪə t
INBOUND, ˈɪ n b ˌaʊ n d
INBOX, ˈɪ n b ˌɒ k s
INC, ˈɪ ŋ k
INCAPABLE, ɪ n k ˈeɪ p ə b ə l
INCARNATE(1), ɪ n k ˈɑː n eɪ t
INCARNATE(2), ɪ n k ˈɑː n ɪ t
INCENSE(1), ɪ n s ˈɛ n s
INCENSE(2), ˈɪ n s ɛ n s
INCENTIVE, ɪ n s ˈɛ n t ɪ v
INCENTIVES, ɪ n s ˈɛ n t ɪ v z
INCEST, ˈɪ n s ˌɛ s t
INCH, ˈɪ n tʃ
INCHES, ˈɪ n tʃ ɪ z
INCIDENCE, ˈɪ n s ɪ d ə n s
INCIDENT, ˈɪ n s ɪ d ə n t
INCIDENTALLY(1), ˌɪ n s ɪ d ˈɛ n t l i
INCIDENTALLY(2), ˌɪ n s ɪ d ˈɛ n t ə l i
INCIDENTS, ˈɪ n s ɪ d ə n t s
INCLINE, ɪ n k l ˈaɪ n
INCLINED, ɪ n k l ˈaɪ n d
INCLUDE, ɪ n k l ˈuː d
INCLUDED, ɪ n k l ˈuː d ɪ d
INCLUDES, ɪ n k l ˈuː d z
INCLUDING, ɪ n k l ˈuː d ɪ ŋ
INCLUSION, ɪ n k l ˈuː ʒ ə n
INCLUSIVE, ɪ n k l ˈuː s ɪ v
INCOME, ˈɪ n k ˌɐ m
INCOMES, ˈɪ n k ˌɐ m z
INCOMING, ˈɪ n k ˌɐ m ɪ ŋ
INCOMPLETE, ɪ n k ə m p l ˈiː t
INCONGRUOUS, ɪ n k ˈɒ ŋ g ɹ ʊə s
INCONSISTENT, ɪ n k ə n s ˈɪ s t ə n t
INCORPORATE(1), ɪ n k ˈɔː p ə ɹ ˌeɪ t
INCORPORATE(2), ɪ n k ˈɔː p ə ɹ ɪ t
INCORPORATED, ɪ n k ˈɔː p ə ɹ ˌeɪ t ɪ d
INCORRECT, ɪ n k ə ɹ ˈɛ k t
INCREASE(1), ˈɪ n k ɹ ˌiː s
INCREASE(2), ɪ n k ɹ ˈiː s
INCREASED, ɪ n k ɹ ˈiː s t
INCREASES, ɪ n k ɹ ˈiː s ɪ z
INCREASING, ɪ n k ɹ ˈiː s ɪ ŋ
INCREASINGLY, ɪ n k ɹ ˈiː s ɪ ŋ l i
INCREDIBLE, ɪ n k ɹ ˈɛ d ɪ b ə l
INCREDIBLY, ɪ n k ɹ ˈɛ d ɪ b l i
INCUMBENT, ɪ n k ˈɐ m b ə n t
INCUR, ɪ n k ˈɜː
INCURRED, ɪ n k ˈɜː d
INDEED, ɪ n d ˈiː d
INDEFINITELY, ɪ n d ˈɛ f ɪ n ɪ t l i
INDEPENDENCE, ˌɪ n d ɪ p ˈɛ n d ə n s
INDEPENDENT, ˌɪ n d ɪ p ˈɛ n d ə n t
INDEPENDENTLY, ˌɪ n d ɪ p ˈɛ n d ə n t l i
INDEX, ˈɪ n d ɛ k s
INDEXED, ˈɪ n d ɛ k s t
INDEXES, ˈɪ n d ɛ k s ɪ z
INDIA, ˈɪ n d ɪə
INDIAN, ˈɪ n d ɪə n
INDIANA, ˌɪ n d ɪ ˈæ n ə
INDIANAPOLIS, ˌɪ n d ɪə n ˈæ p ə l ɪ s
INDIANS, ˈɪ n d ɪə n z
INDICATE, ˈɪ n d ɪ k ˌeɪ t
INDICATED, ˈɪ n d ɪ k ˌeɪ t ɪ d
INDICATES, ˈɪ n d ɪ k ˌeɪ t s
INDICATING, ˈɪ n d ɪ k ˌeɪ t ɪ ŋ
INDICATION, ˌɪ n d ɪ k ˈeɪ ʃ ə n
INDICATIONS, ˌɪ n d ɪ k ˈeɪ ʃ ə n z
INDICATOR, ˈɪ n d ɪ k ˌeɪ t ə
INDICATORS, ˈɪ n d ɪ k ˌeɪ t ə z
INDICES, ˈɪ n d ɪ s ˌiː z
INDICT, ɪ n d ˈaɪ t
INDIE, ˈɪ n d i
INDIES, ˈɪ n d i z
INDIFFERENCE(1), ɪ n d ˈɪ f ɹ ə n s
INDIFFERENCE(2), ɪ n d ˈɪ f ə ɹ ə n s
INDIFFERENT(1), ɪ n d ˈɪ f ɹ ə n t
INDIFFERENT(2), ɪ n d ˈɪ f ə ɹ ə n t
INDIGENOUS, ɪ n d ˈɪ dʒ ə n ə s
INDIGO, ˈɪ n d ɪ g ˌəʊ
INDIRECT(1), ˌɪ n d ɪ ɹ ˈɛ k t
INDIRECT(2), ˌɪ n d aɪ ɹ ˈɛ k t
INDIRECTLY(1), ɪ n d ɪ ɹ ˈɛ k t l i
INDIRECTLY(2), ɪ n d aɪ ɹ ˈɛ k t l i
INDISCRIMINATE, ɪ n d ɪ s k ɹ ˈɪ m ɪ n ɪ t
INDISTINCT, ˌɪ n d ɪ s t ˈɪ ŋ k t
INDIVIDUAL, ˌɪ n d ɪ v ˈɪ d j ʊə l
INDIVIDUALLY, ˌɪ n d ɪ v ˈɪ d j ʊə l i
INDIVIDUALS, ˌɪ n d ɪ v ˈɪ d j ʊə l z
INDONESIA, ˌɪ n d ə n ˈiː ʒ ə
INDONESIAN(1), ˌɪ n d ə n ˈiː ʒ ə n
INDONESIAN(2), ˌɪ n d əʊ n ˈiː ʒ ə n
INDOOR, ˈɪ n d ˌɔː
INDOORS, ˈɪ n d ˌɔː z
INDUCE, ɪ n d j ˈuː s
INDUCED, ɪ n d j ˈuː s t
INDUCTION, ɪ n d ˈɐ k ʃ ə n
INDULGE, ɪ n d ˈɐ l dʒ
INDUSTRIAL, ɪ n d ˈɐ s t ɹ ɪə l
INDUSTRIALISATION, ɪ n d ˌɐ s t ɹ ɪə l aɪ z ˈeɪ ʃ ə n
INDUSTRIALISE, ɪ n d ˈɐ s t ɹ ɪə l ˌaɪ z
INDUSTRIALIZATION, ɪ n d ˌɐ s t ɹ ɪə l aɪ z ˈeɪ ʃ ə n
INDUSTRIALIZE, ɪ n d ˈɐ s t ɹ ɪə l ˌaɪ z
INDUSTRIES, ˈɪ n d ə s t ɹ i z
INDUSTRY, ˈɪ n d ə s t ɹ i
INEPT, ɪ n ˈɛ p t
INEQUALITY, ˌɪ n ɪ k w ˈɒ l ɪ t i
INERT, ɪ n ˈɜː t
INEVITABLE, ɪ n ˈɛ v ɪ t ə b ə l
INEVITABLY, ɪ n ˈɛ v ɪ t ə b l i
INEXPENSIVE, ˌɪ n ɪ k s p ˈɛ n s ɪ v
INFAMOUS, ˈɪ n f ə m ə s
INFANT, ˈɪ n f ə n t
INFANTS, ˈɪ n f ə n t s
INFECT, ɪ n f ˈɛ k t
INFECTED, ɪ n f ˈɛ k t ɪ d
INFECTION, ɪ n f ˈɛ k ʃ ə n
INFECTIONS, ɪ n f ˈɛ k ʃ ə n z
INFECTIOUS, ɪ n f ˈɛ k ʃ ə s
INFER, ɪ n f ˈɜː
INFERENCE(1), ɪ n f ɹ ə n s
INFERENCE(2), ɪ n f ə ɹ ə n s
INFERIOR, ɪ n f ˈɪə ɹ ɪə
INFINITE, ˈɪ n f ɪ n ɪ t
INFINITY, ɪ n f ˈɪ n ɪ t i
INFLAMATION, ɪ n f l ə m ˈeɪ ʃ ə n
INFLATION, ɪ n f l ˈeɪ ʃ ə n
INFLICT, ɪ n f l ˈɪ k t
INFLUENCE, ˈɪ n f l ʊə n s
INFLUENCED, ˈɪ n f l ʊə n s t
INFLUENCES, ˈɪ n f l ʊə n s ɪ z
INFLUENTIAL, ˌɪ n f l ʊ ˈɛ n ʃ ə l
INFO, ˈɪ n f əʊ
INFORM, ɪ n f ˈɔː m
INFORMAL, ɪ n f ˈɔː m ə l
INFORMATION, ˌɪ n f ə m ˈeɪ ʃ ə n
INFORMATIONAL, ˌɪ n f ə m ˈeɪ ʃ ə n ə l
INFORMATIVE, ɪ n f ˈɔː m ə t ɪ v
INFORMED, ɪ n f ˈɔː m d
INFRARED, ˌɪ n f ɹ ə ɹ ˈɛ d
INFRASTRUCTURE, ˌɪ n f ɹ ə s t ɹ ˈɐ k tʃ ə
INFRINGEMENT, ɪ n f ɹ ˈɪ n dʒ m ə n t
INGENIOUS, ɪ n dʒ ˈiː n j ə s
INGREDIENT, ɪ n g ɹ ˈiː d ɪə n t
INGREDIENTS, ɪ n g ɹ ˈiː d ɪə n t s
INHABITANT, ɪ n h ˈæ b ɪ t ə n t
INHABITANTS, ɪ n h ˈæ b ɪ t ə n t s
INHALE, ɪ n h ˈeɪ l
INHERENT(1), ɪ n h ˈɛ ɹ ə n t
INHERENT(2), ɪ n h ˈɪə ɹ ə n t
INHERIT, ɪ n h ˈɛ ɹ ɪ t
INHERITANCE, ɪ n h ˈɛ ɹ ɪ t ə n s
INHERITED, ɪ n h ˈɛ ɹ ɪ t ɪ d
INHIBIT, ɪ n h ˈɪ b ɪ t
INHIBITION, ˌɪ n ɪ b ˈɪ ʃ ə n
INITIAL, ɪ n ˈɪ ʃ ə l
INITIALLY, ɪ n ˈɪ ʃ ə l i
INITIATE, ɪ n ˈɪ ʃ ɪ ˌeɪ t
INITIATED, ɪ n ˈɪ ʃ ɪ ˌeɪ t ɪ d
INITIATION, ɪ n ˌɪ ʃ ɪ ˈeɪ ʃ ə n
INITIATIVE(1), ɪ n ˈɪ ʃ ə t ɪ v
INITIATIVE(2), ɪ n ˈɪ ʃ ɪə t ɪ v
INITIATIVES(1), ɪ n ˈɪ ʃ ə t ɪ v z
INITIATIVES(2), ɪ n ˈɪ ʃ ɪə t ɪ v z
INJECT, ɪ n dʒ ˈɛ k t
INJECTION, ɪ n dʒ ˈɛ k ʃ ə n
INJUNCTION(1), ɪ n dʒ ˈɐ ŋ ʃ ə n
INJUNCTION(2), ɪ n dʒ ˈɐ ŋ k ʃ ə n
INJURE, ˈɪ n dʒ ə
INJURED, ˈɪ n dʒ ə d
INJURIES, ˈɪ n dʒ ə ɹ i z
INJURY, ˈɪ n dʒ ə ɹ i
INJUSTICE, ɪ n dʒ ˈɐ s t ɪ s
INK, ˈɪ ŋ k
INKJET, ˈɪ ŋ k dʒ ˌɛ t
INLAND, ˈɪ n l ˌæ n d
INLAY(1), ɪ n l ˈeɪ
INLAY(2), ˈɪ n l ˌeɪ
INLET, ˈɪ n l ˌɛ t
INLINE, ˈɪ n l aɪ n
INN, ˈɪ n
INNATE(1), ˈɪ n eɪ t
INNATE(2), ɪ n ˈeɪ t
INNER, ˈɪ n ə
INNOCENCE, ˈɪ n ə s ə n s
INNOCENT, ˈɪ n ə s ə n t
INNOVATION, ˌɪ n ə v ˈeɪ ʃ ə n
INNOVATIONS, ˌɪ n ə v ˈeɪ ʃ ə n z
INNOVATIVE(1), ˈɪ n ə v ə t ɪ v
INNOVATIVE(2), ˈɪ n ə v ˌeɪ t ɪ v
INNS, ˈɪ n z
INPUT, ˈɪ n p ˌʊ t
INPUTS, ˈɪ n p ˌʊ t s
INPUTTED, ˈɪ n p ˌʊ t ɪ d
INQUEST, ˈɪ n k w ˌɛ s t
INQUIRE, ɪ n k w ˈaɪ ə
INQUIRIES, ɪ n k w ˈaɪ ə ɹ i z
INQUIRY, ɪ n k w ˈaɪ ə ɹ i
INS, ˈɪ n z
INSANE, ɪ n s ˈeɪ n
INSECT, ˈɪ n s ˌɛ k t
INSECTS, ˈɪ n s ˌɛ k t s
INSERT(1), ɪ n s ˈɜː t
INSERT(2), ˈɪ n s ˌɜː t
INSERTED, ɪ n s ˈɜː t ɪ d
INSERTION, ɪ n s ˈɜː ʃ ə n
INSET(1), ˈɪ n s ˌɛ t
INSET(2), ɪ n s ˈɛ t
INSIDE(1), ɪ n s ˈaɪ d
INSIDE(2), ˈɪ n s ˌaɪ d
INSIDER, ɪ n s ˈaɪ d ə
INSIDIOUS, ɪ n s ˈɪ d ɪə s
INSIGHT, ˈɪ n s ˌaɪ t
INSIGHTS, ˈɪ n s ˌaɪ t s
INSIST, ɪ n s ˈɪ s t
INSISTED, ɪ n s ˈɪ s t ɪ d
INSISTENCE, ɪ n s ˈɪ s t ə n s
INSISTS, ɪ n s ˈɪ s t s
INSPECT, ɪ n s p ˈɛ k t
INSPECTION, ɪ n s p ˈɛ k ʃ ə n
INSPECTIONS, ɪ n s p ˈɛ k ʃ ə n z
INSPECTOR, ɪ n s p ˈɛ k t ə
INSPECTORS, ɪ n s p ˈɛ k t ə z
INSPIRATION, ˌɪ n s p ɪ ɹ ˈeɪ ʃ ə n
INSPIRE, ɪ n s p ˈaɪ ə
INSPIRED, ɪ n s p ˈaɪ ə d
INSTABILITY, ˌɪ n s t ə b ˈɪ l ɪ t i
INSTALL, ɪ n s t ˈɔː l
INSTALLATION, ˌɪ n s t ə l ˈeɪ ʃ ə n
INSTALLATIONS, ˌɪ n s t ə l ˈeɪ ʃ ə n z
INSTALLED, ɪ n s t ˈɔː l d
INSTALLING, ɪ n s t ˈɔː l ɪ ŋ
INSTANCE, ˈɪ n s t ə n s
INSTANCES, ˈɪ n s t ə n s ɪ z
INSTANT, ˈɪ n s t ə n t
INSTANTLY, ˈɪ n s t ə n t l i
INSTEAD, ɪ n s t ˈɛ d
INSTINCT, ˈɪ n s t ɪ ŋ k t
INSTITUTE, ˈɪ n s t ɪ t j ˌuː t
INSTITUTES, ˈɪ n s t ɪ t j ˌuː t s
INSTITUTION, ˌɪ n s t ɪ t j ˈuː ʃ ə n
INSTITUTIONAL, ˌɪ n s t ɪ t j ˈuː ʃ ə n ə l
INSTITUTIONS, ˌɪ n s t ɪ t j ˈuː ʃ ə n z
INSTRUCT, ɪ n s t ɹ ˈɐ k t
INSTRUCTION, ɪ n s t ɹ ˈɐ k ʃ ə n
INSTRUCTIONAL, ɪ n s t ɹ ˈɐ k ʃ ə n ə l
INSTRUCTIONS, ɪ n s t ɹ ˈɐ k ʃ ə n z
INSTRUCTOR, ɪ n s t ɹ ˈɐ k t ə
INSTRUCTORS, ɪ n s t ɹ ˈɐ k t ə z
INSTRUMENT, ˈɪ n s t ɹ ə m ə n t
INSTRUMENTAL, ˌɪ n s t ɹ ə m ˈɛ n t ə l
INSTRUMENTATION, ˌɪ n s t ɹ ə m ɛ n t ˈeɪ ʃ ə n
INSTRUMENTS, ˈɪ n s t ɹ ə m ə n t s
INSUFFICIENT, ɪ n s ə f ˈɪ ʃ ə n t
INSULATION, ˌɪ n s j ʊ l ˈeɪ ʃ ə n
INSULIN, ˈɪ n s j ʊ l ɪ n
INSULT(1), ɪ n s ˈɐ l t
INSULT(2), ˈɪ n s ˌɐ l t
INSURANCE, ɪ n ʃ ˈɔː ɹ ə n s
INSURE, ɪ n ʃ ˈɔː
INSURED, ɪ n ʃ ˈɔː d
INTACT, ɪ n t ˈæ k t
INTAKE, ˈɪ n t ˌeɪ k
INTEGER, ˈɪ n t ɪ dʒ ə
INTEGRAL(1), ˈɪ n t ɪ g ɹ ə l
INTEGRAL(2), ɪ n t ˈɛ g ɹ ə l
INTEGRATE, ˈɪ n t ɪ g ɹ ˌeɪ t
INTEGRATED, ˈɪ n t ɪ g ɹ ˌeɪ t ɪ d
INTEGRATING, ˈɪ n t ɪ g ɹ ˌeɪ t ɪ ŋ
INTEGRATION, ˌɪ n t ɪ g ɹ ˈeɪ ʃ ə n
INTEGRITY, ɪ n t ˈɛ g ɹ ɪ t i
INTEL, ˈɪ n t ɛ l
INTELLECTUAL, ˌɪ n t ə l ˈɛ k tʃ ʊə l
INTELLIGENCE, ɪ n t ˈɛ l ɪ dʒ ə n s
INTELLIGENT, ɪ n t ˈɛ l ɪ dʒ ə n t
INTEND, ɪ n t ˈɛ n d
INTENDED, ɪ n t ˈɛ n d ɪ d
INTENDS, ɪ n t ˈɛ n d z
INTENSE, ɪ n t ˈɛ n s
INTENSITY, ɪ n t ˈɛ n s ɪ t i
INTENSIVE, ɪ n t ˈɛ n s ɪ v
INTENT, ɪ n t ˈɛ n t
INTENTION, ɪ n t ˈɛ n ʃ ə n
INTENTIONS, ɪ n t ˈɛ n ʃ ə n z
INTER, ɪ n t ˈɜː
INTERACT, ˌɪ n t ə ɹ ˈæ k t
INTERACTION, ˌɪ n t ə ɹ ˈæ k ʃ ə n
INTERACTIONS, ˌɪ n t ə ɹ ˈæ k ʃ ə n z
INTERACTIVE, ˌɪ n t ə ɹ ˈæ k t ɪ v
INTERCOURSE, ˈɪ n t ə k ˌɔː s
INTEREST(1), ˈɪ n t ɹ ɪ s t
INTEREST(2), ˈɪ n t ə ɹ ɪ s t
INTERESTED(1), ˈɪ n t ɹ ɪ s t ɪ d
INTERESTED(2), ˈɪ n t ə ɹ ɪ s t ɪ d
INTERESTING(1), ˈɪ n t ɹ ɪ s t ɪ ŋ
INTERESTING(2), ˈɪ n t ə ɹ ɪ s t ɪ ŋ
INTERESTINGLY, ˈɪ n t ɹ ɪ s t ɪ ŋ l i
INTERESTS(1), ˈɪ n t ɹ ɪ s t s
INTERESTS(2), ˈɪ n t ə ɹ ɪ s t s
INTERFACE, ˈɪ n t ə f ˌeɪ s
INTERFACES, ˈɪ n t ə f ˌeɪ s ɪ z
INTERFERE, ˌɪ n t ə f ˈɪə
INTERFERENCE, ˌɪ n t ə f ˈɪə ɹ ə n s
INTERIM, ˈɪ n t ə ɹ ɪ m
INTERIOR, ɪ n t ˈɪə ɹ ɪə
INTERMEDIATE, ˌɪ n t ə m ˈiː d ɪə t
INTERN(1), ɪ n t ˈɜː n
INTERN(2), ˈɪ n t ɜː n
INTERNAL, ɪ n t ˈɜː n ə l
INTERNATIONAL, ˌɪ n t ə n ˈæ ʃ ə n ə l
INTERNATIONALLY(1), ˌɪ n t ə n ˈæ ʃ n ə l i
INTERNATIONALLY(2), ˌɪ n t ə n ˈæ ʃ ə n ə l i
INTERNET, ˈɪ n t ə n ˌɛ t
INTERNSHIP, ˈɪ n t ə n ʃ ˌɪ p
INTERPRET, ɪ n t ˈɜː p ɹ ɪ t
INTERPRETATION, ɪ n t ˌɜː p ɹ ɪ t ˈeɪ ʃ ə n
INTERPRETATIONS, ɪ n t ˌɜː p ɹ ɪ t ˈeɪ ʃ ə n z
INTERPRETED, ɪ n t ˈɜː p ɹ ɪ t ɪ d
INTERRACIAL, ˌɪ n t ə ɹ ˈeɪ ʃ ə l
INTERRUPT, ˌɪ n t ə ɹ ˈɐ p t
INTERSECTION, ˌɪ n t ə s ˈɛ k ʃ ə n
INTERSTATE, ˈɪ n t ə s t ˌeɪ t
INTERVAL, ˈɪ n t ə v ə l
INTERVALS, ˈɪ n t ə v ə l z
INTERVENE, ˌɪ n t ə v ˈiː n
INTERVENTION, ˌɪ n t ə v ˈɛ n ʃ ə n
INTERVENTIONS, ˌɪ n t ə v ˈɛ n ʃ ə n z
INTERVIEW, ˈɪ n t ə v j ˌuː
INTERVIEWED, ˈɪ n t ə v j ˌuː d
INTERVIEWEE, ˌɪ n t ə v j uː ˈiː
INTERVIEWER, ˈɪ n t ə v j ˌuː ə
INTERVIEWS, ˈɪ n t ə v j ˌuː z
INTERWEAVE, ɪ n t ə w ˈiː v
INTERWOVEN, ɪ n t ə w ˈəʊ v ə n
INTESTINAL, ɪ n t ˈɛ s t ɪ n ə l
INTIMATE(1), ˈɪ n t ɪ m ɪ t
INTIMATE(2), ˈɪ n t ɪ m ˌeɪ t
INTIMIDATE, ɪ n t ˈɪ m ɪ d ˌeɪ t
INTO(1), ɪ n t ə
INTO(2), ɪ n t ˈuː
INTO(3), ˈɪ n t uː
INTRANET, ˈɪ n t ɹ ə n ˌɛ t
INTRIGUE(1), ˈɪ n t ɹ iː g
INTRIGUE(2), ɪ n t ɹ ˈiː g
INTRO, ˈɪ n t ɹ əʊ
INTRODUCE, ˌɪ n t ɹ ə d j ˈuː s
INTRODUCED, ˌɪ n t ɹ ə d j ˈuː s t
INTRODUCES, ˌɪ n t ɹ ə d j ˈuː s ɪ z
INTRODUCING, ˌɪ n t ɹ ə d j ˈuː s ɪ ŋ
INTRODUCTION, ˌɪ n t ɹ ə d ˈɐ k ʃ ə n
INTRODUCTORY, ˌɪ n t ɹ ə d ˈɐ k t ə ɹ i
INTUITION, ˌɪ n t j ʊ ˈɪ ʃ ə n
INTUITIVE, ˌɪ n t j ˈuː ˈɪ t ɪ v
INVADE, ɪ n v ˈeɪ d
INVADER, ɪ n v ˈeɪ d ə
INVADERS, ɪ n v ˈeɪ d ə z
INVALID(1), ɪ n v ˈæ l ɪ d
INVALID(2), ˈɪ n v ə l ɪ d
INVALUABLE, ɪ n v ˈæ l j ʊ b ə l
INVARIABLY, ɪ n v ˈɛə ɹ ɪə b l i
INVASION, ɪ n v ˈeɪ ʒ ə n
INVENT, ɪ n v ˈɛ n t
INVENTED, ɪ n v ˈɛ n t ɪ d
INVENTION, ɪ n v ˈɛ n ʃ ə n
INVENTORY, ˈɪ n v ə n t ə ɹ i
INVERCLYDE, ˌɪ n v ə k l ˈaɪ d
INVERNESS, ˌɪ n v ə n ˈɛ s
INVERSE(1), ˈɪ n v ɜː s
INVERSE(2), ɪ n v ˈɜː s
INVERSION(1), ɪ n v ˈɜː ʒ ə n
INVERSION(2), ɪ n v ˈɜː ʃ ə n
INVERT(1), ɪ n v ˈɜː t
INVERT(2), ˈɪ n v ɜː t
